Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
-0.23,2192.0,1149.0,-517.0,879.0,1.1756,1231.0,Up
1231.0,-0.23,2192.0,1149.0,-517.0,1.2898,1993.0,Up
1993.0,1231.0,-0.23,2192.0,1149.0,1.6506,-247.0,Down
-247.0,1993.0,1231.0,-0.23,2192.0,1.6091,164.0,Up
164.0,-247.0,1993.0,1231.0,-0.23,1.3017,-834.0,Down
-834.0,164.0,-247.0,1993.0,1231.0,979.0,-536.0,Down
-536.0,-834.0,164.0,-247.0,1993.0,1.2278,2294.0,Up
2294.0,-536.0,-834.0,164.0,-247.0,1.3124,1521.0,Up
1521.0,2294.0,-536.0,-834.0,164.0,1.70458,-527.0,Down
-527.0,1521.0,2294.0,-536.0,-834.0,1.3314,-153.0,Down
-153.0,-527.0,1521.0,2294.0,-536.0,1.0247,694.0,Up
694.0,-153.0,-527.0,1521.0,2294.0,1.2105,-1863.0,Down
-1863.0,694.0,-153.0,-527.0,1521.0,1.4522,-787.0,Down
-787.0,-1863.0,694.0,-153.0,-527.0,1.2629,456.0,Up
456.0,-787.0,-1863.0,694.0,-153.0,1.2949,1.53,Up
1.53,456.0,-787.0,-1863.0,694.0,1.1057,-0.47,Down
-0.47,1.53,456.0,-787.0,-1863.0,1.3173,39.0,Up
39.0,-0.47,1.53,456.0,-787.0,1.3362,1372.0,Up
1372.0,39.0,-0.47,1.53,456.0,1.3644,411.0,Up
411.0,1372.0,39.0,-0.47,1.53,1.2445,-2382.0,Down
-2382.0,411.0,1372.0,39.0,-0.47,1.1061,-1717.0,Down
-1717.0,-2382.0,411.0,1372.0,39.0,1.2974,-1.0,Down
-1.0,-1717.0,-2382.0,411.0,1372.0,1.3525,2295.0,Up
2295.0,-1.0,-1717.0,-2382.0,411.0,1.3174,286.0,Up
286.0,2295.0,-1.0,-1717.0,-2382.0,1.1219,1439.0,Up
1439.0,286.0,2295.0,-1.0,-1717.0,1.2677,1453.0,Up
1453.0,1439.0,286.0,2295.0,-1.0,1356.0,-273.0,Down
-273.0,1453.0,1439.0,286.0,2295.0,1.4113,246.0,Up
246.0,-273.0,1453.0,1439.0,286.0,1.5175,158.0,Up
158.0,246.0,-273.0,1453.0,1439.0,1.0938,-177.0,Down
-177.0,158.0,246.0,-273.0,1453.0,0.9916,1856.0,Up
1856.0,-177.0,158.0,246.0,-273.0,1.3701,186.0,Up
186.0,1856.0,-177.0,158.0,246.0,1.4434,0.09,Up
0.09,186.0,1856.0,-177.0,158.0,1.4545,-314.0,Down
-314.0,0.09,186.0,1856.0,-177.0,1.3374,1.09,Up
1.09,-314.0,0.09,186.0,1856.0,1.3168,-0.73,Down
-0.73,1.09,-314.0,0.09,186.0,1.3302,-493.0,Down
-493.0,-0.73,1.09,-314.0,0.09,1.0293,1171.0,Up
1171.0,-493.0,-0.73,1.09,-314.0,0.4103,615.0,Up
615.0,1171.0,-493.0,-0.73,1.09,1.1298,-684.0,Down
-684.0,615.0,1171.0,-493.0,-0.73,1288.0,-1825.0,Down
-1825.0,-684.0,615.0,1171.0,-493.0,1.4237,1035.0,Up
1035.0,-1825.0,-684.0,615.0,1171.0,1.3757,-66.0,Down
-66.0,1035.0,-1825.0,-684.0,615.0,1.3436,-838.0,Down
-838.0,-66.0,1035.0,-1825.0,-684.0,1.2029,1319.0,Up
1319.0,-838.0,-66.0,1035.0,-1825.0,1.3185,2232.0,Up
2232.0,1319.0,-838.0,-66.0,1035.0,1.7653,-278.0,Down
-278.0,2232.0,1319.0,-838.0,-66.0,1.4879,-753.0,Down
-753.0,-278.0,2232.0,1319.0,-838.0,1.2482,-1587.0,Down
-1587.0,-753.0,-278.0,2232.0,1319.0,1.2187,-278.0,Down
-278.0,-1587.0,-753.0,-278.0,2232.0,1.3672,27.0,Up
27.0,-278.0,-1587.0,-753.0,-278.0,1.4497,-1556.0,Down
-1556.0,27.0,-278.0,-1587.0,-753.0,1.5115,331.0,Up
331.0,-1556.0,27.0,-278.0,-1587.0,1.3068,1003.0,Up
1003.0,331.0,-1556.0,27.0,-278.0,1.2604,755.0,Up
755.0,1003.0,331.0,-1556.0,27.0,1354.0,581.0,Up
581.0,755.0,1003.0,331.0,-1556.0,1.4849,-838.0,Down
-838.0,581.0,755.0,1003.0,331.0,1.4905,435.0,Up
435.0,-838.0,581.0,755.0,1003.0,1694.0,-21.0,Down
-21.0,435.0,-838.0,581.0,755.0,0.43967,412.0,Up
412.0,-21.0,435.0,-838.0,581.0,0.7911,675.0,Up
675.0,412.0,-21.0,435.0,-838.0,0.8763,336.0,Up
336.0,675.0,412.0,-21.0,435.0,0.9174,-1115.0,Down
-1115.0,336.0,675.0,412.0,-21.0,0.9436,574.0,Up
574.0,-1115.0,336.0,675.0,412.0,1171.0,918.0,Up
918.0,574.0,-1115.0,336.0,675.0,1.3989,621.0,Up
621.0,918.0,574.0,-1115.0,336.0,1513.0,-0.65,Down
-0.65,621.0,918.0,574.0,-1115.0,1.3083,-359.0,Down
-359.0,-0.65,621.0,918.0,574.0,1.2588,-0.48,Down
-0.48,-359.0,-0.65,621.0,918.0,1452.0,122.0,Up
122.0,-0.48,-359.0,-0.65,621.0,1299.0,-947.0,Down
-947.0,122.0,-0.48,-359.0,-0.65,1.2119,-628.0,Down
-628.0,-947.0,122.0,-0.48,-359.0,1.2864,683.0,Up
683.0,-628.0,-947.0,122.0,-0.48,1.3869,-1625.0,Down
-1625.0,683.0,-628.0,-947.0,122.0,1.4825,1003.0,Up
1003.0,-1625.0,683.0,-628.0,-947.0,1.3801,-992.0,Down
-992.0,1003.0,-1625.0,683.0,-628.0,1.3333,-733.0,Down
-733.0,-992.0,1003.0,-1625.0,683.0,1.3116,792.0,Up
792.0,-733.0,-992.0,1003.0,-1625.0,1.4792,352.0,Up
352.0,792.0,-733.0,-992.0,1003.0,1.5528,0.1,Up
0.1,352.0,792.0,-733.0,-992.0,1.3451,-19.0,Down
-19.0,0.1,352.0,792.0,-733.0,1.1868,-2861.0,Down
-2861.0,-19.0,0.1,352.0,792.0,1812.0,1175.0,Up
1175.0,-2861.0,-19.0,0.1,352.0,2.0196,1493.0,Up
1493.0,1175.0,-2861.0,-19.0,0.1,1557.0,-708.0,Down
-708.0,1493.0,1175.0,-2861.0,-19.0,1.3672,-2474.0,Down
-2474.0,-708.0,1493.0,1175.0,-2861.0,1.4376,-404.0,Down
-404.0,-2474.0,-708.0,1493.0,1175.0,1.7783,-597.0,Down
-597.0,-404.0,-2474.0,-708.0,1493.0,1.6658,-308.0,Down
-308.0,-597.0,-404.0,-2474.0,-708.0,1.4416,1486.0,Up
1486.0,-308.0,-597.0,-404.0,-2474.0,1.3719,1434.0,Up
1434.0,1486.0,-308.0,-597.0,-404.0,1.1594,-399.0,Down
-399.0,1434.0,1486.0,-308.0,-597.0,1.0942,994.0,Up
994.0,-399.0,1434.0,1486.0,-308.0,1.2159,-181.0,Down
-181.0,994.0,-399.0,1434.0,1486.0,1.2725,-1102.0,Down
-1102.0,-181.0,994.0,-399.0,1434.0,1.3592,-1887.0,Down
-1887.0,-1102.0,-181.0,994.0,-399.0,1.1899,1351.0,Up
1351.0,-1887.0,-1102.0,-181.0,994.0,1.4389,-1551.0,Down
-1551.0,1351.0,-1887.0,-1102.0,-181.0,1.3816,822.0,Up
822.0,-1551.0,1351.0,-1887.0,-1102.0,1411.0,1798.0,Up
1798.0,822.0,-1551.0,1351.0,-1887.0,1.3674,-5.0,Down
-5.0,1798.0,822.0,-1551.0,1351.0,1.3092,46.0,Up
46.0,-5.0,1798.0,822.0,-1551.0,1.3938,-285.0,Down
-285.0,46.0,-5.0,1798.0,822.0,1.3922,2263.0,Up
2263.0,-285.0,46.0,-5.0,1798.0,1.4565,1949.0,Up
1949.0,2263.0,-285.0,46.0,-5.0,1.5943,-667.0,Down
-667.0,1949.0,2263.0,-285.0,46.0,1.5493,1451.0,Up
1451.0,-667.0,1949.0,2263.0,-285.0,1.5413,-0.45,Down
-0.45,1451.0,-667.0,1949.0,2263.0,1.5174,585.0,Up
585.0,-0.45,1451.0,-667.0,1949.0,1412.0,339.0,Up
339.0,585.0,-0.45,1451.0,-667.0,1.2102,-229.0,Down
-229.0,339.0,585.0,-0.45,1451.0,1.3044,-986.0,Down
-986.0,-229.0,339.0,585.0,-0.45,1354.0,-91.0,Down
-91.0,-986.0,-229.0,339.0,585.0,1.2088,1138.0,Up
1138.0,-91.0,-986.0,-229.0,339.0,1.4939,-52.0,Down
-52.0,1138.0,-91.0,-986.0,-229.0,1.1695,407.0,Up
407.0,-52.0,1138.0,-91.0,-986.0,1255.0,-1576.0,Down
-1576.0,407.0,-52.0,1138.0,-91.0,1.3049,151.0,Up
151.0,-1576.0,407.0,-52.0,1138.0,1.3392,-424.0,Down
-424.0,151.0,-1576.0,407.0,-52.0,1.2433,-1465.0,Down
-1465.0,-424.0,151.0,-1576.0,407.0,1.0579,585.0,Up
585.0,-1465.0,-424.0,151.0,-1576.0,1.2236,535.0,Up
535.0,585.0,-1465.0,-424.0,151.0,1.1801,246.0,Up
246.0,535.0,585.0,-1465.0,-424.0,1.1476,-74.0,Down
-74.0,246.0,535.0,585.0,-1465.0,1.0509,-853.0,Down
-853.0,-74.0,246.0,535.0,585.0,1.1767,-999.0,Down
-999.0,-853.0,-74.0,246.0,535.0,1.2197,84.0,Up
84.0,-999.0,-853.0,-74.0,246.0,1.2838,-321.0,Down
-321.0,84.0,-999.0,-853.0,-74.0,1.1102,228.0,Up
228.0,-321.0,84.0,-999.0,-853.0,1.0953,-666.0,Down
-666.0,228.0,-321.0,84.0,-999.0,1.2354,1133.0,Up
1133.0,-666.0,228.0,-321.0,84.0,1.4479,-2369.0,Down
-2369.0,1133.0,-666.0,228.0,-321.0,1.5056,663.0,Up
663.0,-2369.0,1133.0,-666.0,228.0,1.2821,-761.0,Down
-761.0,663.0,-2369.0,1133.0,-666.0,1.1204,2342.0,Up
2342.0,-761.0,663.0,-2369.0,1133.0,1.3413,-204.0,Down
-204.0,2342.0,-761.0,663.0,-2369.0,1.3769,-142.0,Down
-142.0,-204.0,2342.0,-761.0,663.0,1.3593,62.0,Up
62.0,-142.0,-204.0,2342.0,-761.0,1185.0,-1541.0,Down
-1541.0,62.0,-142.0,-204.0,2342.0,1.1818,-0.62,Down
-0.62,-1541.0,62.0,-142.0,-204.0,1.3885,-0.71,Down
-0.71,-0.62,-1541.0,62.0,-142.0,1.3732,-152.0,Down
-152.0,-0.71,-0.62,-1541.0,62.0,1.5174,-1389.0,Down
-1389.0,-152.0,-0.71,-0.62,-1541.0,1.3742,-1.01,Down
-1.01,-1389.0,-152.0,-0.71,-0.62,1.3147,1077.0,Up
1077.0,-1.01,-1389.0,-152.0,-0.71,1.6286,886.0,Up
886.0,1077.0,-1.01,-1389.0,-152.0,1.4514,-175.0,Down
-175.0,886.0,1077.0,-1.01,-1389.0,1364.0,-1026.0,Down
-1026.0,-175.0,886.0,1077.0,-1.01,1.2845,-1934.0,Down
-1934.0,-1026.0,-175.0,886.0,1077.0,1.1226,-302.0,Down
-302.0,-1934.0,-1026.0,-175.0,886.0,1.3547,3.75,Up
3.75,-302.0,-1934.0,-1026.0,-175.0,1502.0,-1455.0,Down
-1455.0,3.75,-302.0,-1934.0,-1026.0,1153.0,-1679.0,Down
-1679.0,-1455.0,3.75,-302.0,-1934.0,1.1719,1855.0,Up
1855.0,-1679.0,-1455.0,3.75,-302.0,1.0886,2114.0,Up
2114.0,1855.0,-1679.0,-1455.0,3.75,1.4145,-566.0,Down
-566.0,2114.0,1855.0,-1679.0,-1455.0,1.4202,656.0,Up
656.0,-566.0,2114.0,1855.0,-1679.0,1.2566,761.0,Up
761.0,656.0,-566.0,2114.0,1855.0,1.2744,-1329.0,Down
-1329.0,761.0,656.0,-566.0,2114.0,0.9898,-1099.0,Down
-1099.0,-1329.0,761.0,656.0,-566.0,1.2005,569.0,Up
569.0,-1099.0,-1329.0,761.0,656.0,1.1363,1018.0,Up
1018.0,569.0,-1099.0,-1329.0,761.0,1.1929,-1209.0,Down
-1209.0,1018.0,569.0,-1099.0,-1329.0,0.8854,-855.0,Down
-855.0,-1209.0,1018.0,569.0,-1099.0,0.9965,-641.0,Down
-641.0,-855.0,-1209.0,1018.0,569.0,1.0818,-281.0,Down
-281.0,-641.0,-855.0,-1209.0,1018.0,1.2866,233.0,Up
233.0,-281.0,-641.0,-855.0,-1209.0,1.2773,-2.48,Down
-2.48,233.0,-281.0,-641.0,-855.0,1.3243,1.0,Up
1.0,-2.48,233.0,-281.0,-641.0,1.4666,885.0,Up
885.0,1.0,-2.48,233.0,-281.0,1.3001,-1976.0,Down
-1976.0,885.0,1.0,-2.48,233.0,1.6015,-157.0,Down
-157.0,-1976.0,885.0,1.0,-2.48,1.3413,312.0,Up
312.0,-157.0,-1976.0,885.0,1.0,1.2262,-1663.0,Down
-1663.0,312.0,-157.0,-1976.0,885.0,1.2124,657.0,Up
657.0,-1663.0,312.0,-157.0,-1976.0,1.79572,-1049.0,Down
-1049.0,657.0,-1663.0,312.0,-157.0,1.4055,-227.0,Down
-227.0,-1049.0,657.0,-1663.0,312.0,1549.0,2869.0,Up
2869.0,-227.0,-1049.0,657.0,-1663.0,1.2366,94.0,Up
94.0,2869.0,-227.0,-1049.0,657.0,1.1931,-1654.0,Down
-1654.0,94.0,2869.0,-227.0,-1049.0,1.3361,-1343.0,Down
-1343.0,-1654.0,94.0,2869.0,-227.0,1.3897,-1704.0,Down
-1704.0,-1343.0,-1654.0,94.0,2869.0,1.4972,362.0,Up
362.0,-1704.0,-1343.0,-1654.0,94.0,1.5526,-1.67,Down
-1.67,362.0,-1704.0,-1343.0,-1654.0,1.5137,-267.0,Down
-267.0,-1.67,362.0,-1704.0,-1343.0,2.01429,1758.0,Up
1758.0,-267.0,-1.67,362.0,-1704.0,1.9086,-83.0,Down
-83.0,1758.0,-267.0,-1.67,362.0,2117.0,-2139.0,Down
-2139.0,-83.0,1758.0,-267.0,-1.67,1.4255,-2123.0,Down
-2123.0,-2139.0,-83.0,1758.0,-267.0,1823.0,622.0,Up
622.0,-2123.0,-2139.0,-83.0,1758.0,1.5278,3673.0,Up
3673.0,622.0,-2123.0,-2139.0,-83.0,0.6994,-1218.0,Down
