,Date,Hour,load,T
117,2004-01-05,22,,24.333333333
118,2004-01-05,23,,24.0
119,2004-01-05,24,,24.0
120,2004-01-06,1,,24.0
121,2004-01-06,2,,24.666666667
122,2004-01-06,3,,24.666666667
123,2004-01-06,4,,24.0
124,2004-01-06,5,,24.0
125,2004-01-06,6,,24.0
126,2004-01-06,7,,23.0
127,2004-01-06,8,,22.666666667
128,2004-01-06,9,,22.333333333
129,2004-01-06,10,,22.666666667
130,2004-01-06,11,,26.0
131,2004-01-06,12,,27.666666667
132,2004-01-06,13,,29.0
133,2004-01-06,14,,30.333333333
134,2004-01-06,15,,31.0
135,2004-01-06,16,,30.666666667
136,2004-01-06,17,,28.333333333
137,2004-01-06,18,,26.666666667
138,2004-01-06,19,,25.666666667
139,2004-01-06,20,,23.666666667
140,2004-01-06,21,,22.666666667
141,2004-01-06,22,,21.666666667
142,2004-01-06,23,,20.333333333
143,2004-01-06,24,,19.666666667
144,2004-01-07,1,,18.666666667
145,2004-01-07,2,,17.0
146,2004-01-07,3,,15.666666667
147,2004-01-07,4,,14.666666667
148,2004-01-07,5,,13.666666667
149,2004-01-07,6,,13.666666667
150,2004-01-07,7,,11.666666667
151,2004-01-07,8,,11.666666667
152,2004-01-07,9,,13.333333333
153,2004-01-07,10,,14.666666667
154,2004-01-07,11,,16.333333333
155,2004-01-07,12,,17.666666667
156,2004-01-07,13,,18.333333333
157,2004-01-07,14,,18.333333333
158,2004-01-07,15,,18.333333333
159,2004-01-07,16,,18.666666667
160,2004-01-07,17,,17.333333333
161,2004-01-07,18,,16.0
162,2004-01-07,19,,16.0
163,2004-01-07,20,,15.333333333
164,2004-01-07,21,,14.666666667
165,2004-01-07,22,,13.333333333
166,2004-01-07,23,,11.666666667
167,2004-01-07,24,,9.6666666667
168,2004-01-08,1,,8.6666666667
169,2004-01-08,2,,6.0
170,2004-01-08,3,,4.3333333333
171,2004-01-08,4,,2.3333333333
172,2004-01-08,5,,1.0
173,2004-01-08,6,,0.3333333333
174,2004-01-08,7,,-1.0
175,2004-01-08,8,,-1.666666667
176,2004-01-08,9,,-2.333333333
177,2004-01-08,10,,-1.333333333
178,2004-01-08,11,,0.3333333333
179,2004-01-08,12,,2.6666666667
180,2004-01-08,13,,3.6666666667
181,2004-01-08,14,,5.6666666667
182,2004-01-08,15,,6.0
183,2004-01-08,16,,6.3333333333
184,2004-01-08,17,,5.3333333333
185,2004-01-08,18,,3.3333333333
186,2004-01-08,19,,2.0
187,2004-01-08,20,,0.6666666667
188,2004-01-08,21,,-0.666666667
189,2004-01-08,22,,-1.666666667
190,2004-01-08,23,,-2.333333333
191,2004-01-08,24,,-2.666666667
192,2004-01-09,1,,-3.666666667
193,2004-01-09,2,,-5.333333333
194,2004-01-09,3,,-5.666666667
195,2004-01-09,4,,-6.333333333
196,2004-01-09,5,,-7.0
197,2004-01-09,6,,-7.666666667
198,2004-01-09,7,,-8.0
199,2004-01-09,8,,-9.0
200,2004-01-09,9,,-9.0
201,2004-01-09,10,,-7.666666667
202,2004-01-09,11,,-5.333333333
203,2004-01-09,12,,-4.333333333
204,2004-01-09,13,,-3.0
205,2004-01-09,14,,-1.333333333
206,2004-01-09,15,,0.6666666667
207,2004-01-09,16,,1.3333333333
208,2004-01-09,17,,0.6666666667
209,2004-01-09,18,,-1.333333333
210,2004-01-09,19,,-2.333333333
211,2004-01-09,20,,-2.666666667
212,2004-01-09,21,,-3.0
213,2004-01-09,22,,-3.333333333
214,2004-01-09,23,,-4.0
215,2004-01-09,24,,-4.666666667
216,2004-01-10,1,,-5.333333333
217,2004-01-10,2,,-5.666666667
218,2004-01-10,3,,-6.333333333
219,2004-01-10,4,,-6.333333333
220,2004-01-10,5,,-6.333333333
221,2004-01-10,6,,-6.666666667
222,2004-01-10,7,,-6.333333333
223,2004-01-10,8,,-8.333333333
224,2004-01-10,9,,-7.0
225,2004-01-10,10,,-5.0
226,2004-01-10,11,,-2.0
227,2004-01-10,12,,0.0
228,2004-01-10,13,,2.0
229,2004-01-10,14,,4.0
230,2004-01-10,15,,5.3333333333
231,2004-01-10,16,,6.0
232,2004-01-10,17,,5.0
233,2004-01-10,18,,3.3333333333
234,2004-01-10,19,,2.3333333333
235,2004-01-10,20,,0.6666666667
236,2004-01-10,21,,-0.333333333
237,2004-01-10,22,,-1.0
238,2004-01-10,23,,-2.0
239,2004-01-10,24,,-3.0
240,2004-01-11,1,,-4.0
241,2004-01-11,2,,-4.333333333
242,2004-01-11,3,,-5.666666667
243,2004-01-11,4,,-6.333333333
244,2004-01-11,5,,-6.666666667
245,2004-01-11,6,,-5.666666667
246,2004-01-11,7,,-6.333333333
247,2004-01-11,8,,-4.666666667
248,2004-01-11,9,,-2.0
249,2004-01-11,10,,1.0
250,2004-01-11,11,,3.3333333333
251,2004-01-11,12,,6.3333333333
252,2004-01-11,13,,9.0
253,2004-01-11,14,,11.666666667
254,2004-01-11,15,,13.0
255,2004-01-11,16,,14.666666667
256,2004-01-11,17,,15.333333333
257,2004-01-11,18,,16.333333333
258,2004-01-11,19,,16.666666667
259,2004-01-11,20,,17.0
260,2004-01-11,21,,17.666666667
261,2004-01-11,22,,18.333333333
262,2004-01-11,23,,19.333333333
263,2004-01-11,24,,19.666666667
264,2004-01-12,1,,20.0
265,2004-01-12,2,,20.333333333
266,2004-01-12,3,,20.0
267,2004-01-12,4,,19.666666667
268,2004-01-12,5,,19.333333333
269,2004-01-12,6,,19.333333333
270,2004-01-12,7,,19.333333333
271,2004-01-12,8,,18.666666667
272,2004-01-12,9,,18.333333333
273,2004-01-12,10,,19.333333333
274,2004-01-12,11,,21.333333333
275,2004-01-12,12,,20.666666667
276,2004-01-12,13,,21.333333333
277,2004-01-12,14,,23.0
278,2004-01-12,15,,22.666666667
279,2004-01-12,16,,22.666666667
280,2004-01-12,17,,22.333333333
281,2004-01-12,18,,21.666666667
282,2004-01-12,19,,21.0
283,2004-01-12,20,,19.666666667
284,2004-01-12,21,,19.333333333
285,2004-01-12,22,,19.0
286,2004-01-12,23,,19.666666667
287,2004-01-12,24,,19.0
288,2004-01-13,1,,18.0
289,2004-01-13,2,,15.666666667
290,2004-01-13,3,,16.666666667
291,2004-01-13,4,,15.0
292,2004-01-13,5,,14.0
293,2004-01-13,6,,13.666666667
294,2004-01-13,7,,15.0
295,2004-01-13,8,,17.666666667
296,2004-01-13,9,,19.0
297,2004-01-13,10,,22.666666667
298,2004-01-13,11,,24.666666667
299,2004-01-13,12,,27.0
300,2004-01-13,13,,29.333333333
301,2004-01-13,14,,29.666666667
302,2004-01-13,15,,29.0
303,2004-01-13,16,,26.333333333
304,2004-01-13,17,,21.666666667
305,2004-01-13,18,,16.0
306,2004-01-13,19,,12.666666667
307,2004-01-13,20,,9.6666666667
308,2004-01-13,21,,6.3333333333
309,2004-01-13,22,,2.6666666667
310,2004-01-13,23,,-0.333333333
311,2004-01-13,24,,-2.666666667
312,2004-01-14,1,,-4.333333333
313,2004-01-14,2,,-6.333333333
314,2004-01-14,3,,-7.666666667
315,2004-01-14,4,,-9.333333333
316,2004-01-14,5,,-10.0
317,2004-01-14,6,,-11.0
318,2004-01-14,7,,-11.66666667
319,2004-01-14,8,,-12.33333333
320,2004-01-14,9,,-12.33333333
321,2004-01-14,10,,-11.66666667
322,2004-01-14,11,,-9.333333333
323,2004-01-14,12,,-8.0
324,2004-01-14,13,,-5.666666667
325,2004-01-14,14,,-4.333333333
326,2004-01-14,15,,-3.0
327,2004-01-14,16,,-3.333333333
328,2004-01-14,17,,-4.0
329,2004-01-14,18,,-4.333333333
330,2004-01-14,19,,-5.0
331,2004-01-14,20,,-5.666666667
332,2004-01-14,21,,-6.0
333,2004-01-14,22,,-6.333333333
334,2004-01-14,23,,-7.0
335,2004-01-14,24,,-7.0
336,2004-01-15,1,,-7.333333333
337,2004-01-15,2,,-7.0
338,2004-01-15,3,,-7.666666667
339,2004-01-15,4,,-7.666666667
340,2004-01-15,5,,-8.333333333
341,2004-01-15,6,,-8.666666667
342,2004-01-15,7,,-10.33333333
343,2004-01-15,8,,-10.0
344,2004-01-15,9,,-10.33333333
345,2004-01-15,10,,-9.0
346,2004-01-15,11,,-6.666666667
347,2004-01-15,12,,-5.333333333
348,2004-01-15,13,,-4.0
349,2004-01-15,14,,-3.0
350,2004-01-15,15,,-2.333333333
351,2004-01-15,16,,-2.666666667
352,2004-01-15,17,,-3.333333333
353,2004-01-15,18,,-5.0
354,2004-01-15,19,,-7.0
355,2004-01-15,20,,-7.666666667
356,2004-01-15,21,,-8.666666667
357,2004-01-15,22,,-9.333333333
358,2004-01-15,23,,-10.0
359,2004-01-15,24,,-10.66666667
360,2004-01-16,1,,-10.33333333
361,2004-01-16,2,,-10.33333333
362,2004-01-16,3,,-10.66666667
363,2004-01-16,4,,-10.66666667
364,2004-01-16,5,,-10.0
365,2004-01-16,6,,-9.666666667
366,2004-01-16,7,,-9.333333333
367,2004-01-16,8,,-8.666666667
368,2004-01-16,9,,-7.0
369,2004-01-16,10,,-4.666666667
370,2004-01-16,11,,-1.666666667
371,2004-01-16,12,,1.0
372,2004-01-16,13,,4.0
373,2004-01-16,14,,6.3333333333
374,2004-01-16,15,,8.0
375,2004-01-16,16,,8.6666666667
376,2004-01-16,17,,9.3333333333
377,2004-01-16,18,,8.3333333333
378,2004-01-16,19,,8.0
379,2004-01-16,20,,8.3333333333
380,2004-01-16,21,,7.6666666667
381,2004-01-16,22,,8.3333333333
382,2004-01-16,23,,8.3333333333
383,2004-01-16,24,,9.3333333333
384,2004-01-17,1,,10.0
385,2004-01-17,2,,10.666666667
386,2004-01-17,3,,11.333333333
387,2004-01-17,4,,11.333333333
388,2004-01-17,5,,12.0
389,2004-01-17,6,,10.666666667
390,2004-01-17,7,,9.6666666667
391,2004-01-17,8,,9.6666666667
392,2004-01-17,9,,10.0
393,2004-01-17,10,,12.666666667
394,2004-01-17,11,,15.333333333
395,2004-01-17,12,,18.333333333
396,2004-01-17,13,,21.333333333
397,2004-01-17,14,,22.666666667
398,2004-01-17,15,,24.666666667
399,2004-01-17,16,,26.0
400,2004-01-17,17,,24.666666667
401,2004-01-17,18,,23.666666667
402,2004-01-17,19,,21.0
403,2004-01-17,20,,19.666666667
404,2004-01-17,21,,19.333333333
405,2004-01-17,22,,19.0
406,2004-01-17,23,,18.333333333
407,2004-01-17,24,,19.0
408,2004-01-18,1,,18.666666667
409,2004-01-18,2,,20.0
410,2004-01-18,3,,20.666666667
411,2004-01-18,4,,21.0
412,2004-01-18,5,,21.0
413,2004-01-18,6,,21.666666667
414,2004-01-18,7,,22.333333333
415,2004-01-18,8,,23.666666667
416,2004-01-18,9,,25.666666667
417,2004-01-18,10,,26.666666667
418,2004-01-18,11,,27.333333333
419,2004-01-18,12,,28.0
420,2004-01-18,13,,28.0
421,2004-01-18,14,,28.333333333
422,2004-01-18,15,,28.333333333
423,2004-01-18,16,,28.333333333
424,2004-01-18,17,,28.0
425,2004-01-18,18,,27.0
426,2004-01-18,19,,25.0
427,2004-01-18,20,,24.333333333
428,2004-01-18,21,,23.333333333
429,2004-01-18,22,,21.0
430,2004-01-18,23,,20.333333333
431,2004-01-18,24,,17.666666667
432,2004-01-19,1,,18.666666667
433,2004-01-19,2,,19.333333333
434,2004-01-19,3,,19.0
435,2004-01-19,4,,16.666666667
436,2004-01-19,5,,13.333333333
437,2004-01-19,6,,15.0
438,2004-01-19,7,,16.333333333
439,2004-01-19,8,,15.666666667
440,2004-01-19,9,,15.333333333
441,2004-01-19,10,,15.666666667
442,2004-01-19,11,,16.0
443,2004-01-19,12,,17.666666667
444,2004-01-19,13,,18.666666667
445,2004-01-19,14,,19.0
446,2004-01-19,15,,19.666666667
447,2004-01-19,16,,19.0
448,2004-01-19,17,,18.333333333
449,2004-01-19,18,,17.333333333
450,2004-01-19,19,,16.333333333
451,2004-01-19,20,,15.666666667
452,2004-01-19,21,,15.0
453,2004-01-19,22,,14.666666667
454,2004-01-19,23,,14.0
455,2004-01-19,24,,13.0
456,2004-01-20,1,,13.666666667
457,2004-01-20,2,,14.333333333
458,2004-01-20,3,,14.0
459,2004-01-20,4,,16.0
460,2004-01-20,5,,13.0
461,2004-01-20,6,,13.333333333
462,2004-01-20,7,,12.666666667
463,2004-01-20,8,,11.666666667
464,2004-01-20,9,,12.0
465,2004-01-20,10,,15.0
466,2004-01-20,11,,17.333333333
467,2004-01-20,12,,18.0
468,2004-01-20,13,,19.333333333
469,2004-01-20,14,,20.0
470,2004-01-20,15,,20.666666667
471,2004-01-20,16,,21.333333333
472,2004-01-20,17,,19.666666667
473,2004-01-20,18,,17.333333333
474,2004-01-20,19,,15.0
475,2004-01-20,20,,13.666666667
476,2004-01-20,21,,13.666666667
477,2004-01-20,22,,13.0
478,2004-01-20,23,,13.0
479,2004-01-20,24,,12.666666667
480,2004-01-21,1,,11.666666667
481,2004-01-21,2,,11.333333333
482,2004-01-21,3,,10.666666667
483,2004-01-21,4,,10.0
484,2004-01-21,5,,9.6666666667
485,2004-01-21,6,,9.3333333333
486,2004-01-21,7,,9.3333333333
487,2004-01-21,8,,9.3333333333
488,2004-01-21,9,,10.666666667
489,2004-01-21,10,,12.666666667
490,2004-01-21,11,,16.333333333
491,2004-01-21,12,,17.333333333
492,2004-01-21,13,,19.0
493,2004-01-21,14,,20.666666667
494,2004-01-21,15,,21.333333333
495,2004-01-21,16,,22.0
496,2004-01-21,17,,22.0
497,2004-01-21,18,,20.333333333
498,2004-01-21,19,,17.333333333
499,2004-01-21,20,,14.0
500,2004-01-21,21,,10.666666667
501,2004-01-21,22,,8.6666666667
502,2004-01-21,23,,7.6666666667
503,2004-01-21,24,,7.6666666667
504,2004-01-22,1,,7.3333333333
505,2004-01-22,2,,9.6666666667
506,2004-01-22,3,,11.0
507,2004-01-22,4,,12.666666667
508,2004-01-22,5,,13.0
509,2004-01-22,6,,13.0
510,2004-01-22,7,,13.0
511,2004-01-22,8,,14.666666667
512,2004-01-22,9,,13.666666667
513,2004-01-22,10,,16.333333333
514,2004-01-22,11,,18.666666667
515,2004-01-22,12,,20.666666667
516,2004-01-22,13,,22.666666667
517,2004-01-22,14,,24.666666667
518,2004-01-22,15,,25.666666667
519,2004-01-22,16,,25.666666667
520,2004-01-22,17,,25.666666667
521,2004-01-22,18,,24.0
522,2004-01-22,19,,22.666666667
523,2004-01-22,20,,22.0
524,2004-01-22,21,,21.0
525,2004-01-22,22,,20.0
526,2004-01-22,23,,18.0
527,2004-01-22,24,,17.0
528,2004-01-23,1,,15.333333333
529,2004-01-23,2,,13.666666667
530,2004-01-23,3,,12.666666667
531,2004-01-23,4,,11.333333333
532,2004-01-23,5,,10.333333333
533,2004-01-23,6,,9.0
534,2004-01-23,7,,8.0
535,2004-01-23,8,,7.3333333333
536,2004-01-23,9,,7.3333333333
537,2004-01-23,10,,8.6666666667
538,2004-01-23,11,,9.3333333333
539,2004-01-23,12,,10.333333333
540,2004-01-23,13,,11.666666667
541,2004-01-23,14,,12.666666667
542,2004-01-23,15,,12.666666667
543,2004-01-23,16,,12.333333333
544,2004-01-23,17,,11.0
545,2004-01-23,18,,8.6666666667
546,2004-01-23,19,,8.3333333333
547,2004-01-23,20,,7.0
548,2004-01-23,21,,6.3333333333
549,2004-01-23,22,,4.6666666667
550,2004-01-23,23,,3.6666666667
551,2004-01-23,24,,3.3333333333
552,2004-01-24,1,,1.6666666667
553,2004-01-24,2,,-0.666666667
554,2004-01-24,3,,-3.333333333
555,2004-01-24,4,,-5.666666667
556,2004-01-24,5,,-6.333333333
557,2004-01-24,6,,-6.333333333
558,2004-01-24,7,,-8.0
559,2004-01-24,8,,-6.666666667
560,2004-01-24,9,,-5.666666667
561,2004-01-24,10,,-1.333333333
562,2004-01-24,11,,2.6666666667
563,2004-01-24,12,,5.0
564,2004-01-24,13,,6.6666666667
565,2004-01-24,14,,7.6666666667
566,2004-01-24,15,,9.0
567,2004-01-24,16,,8.0
568,2004-01-24,17,,7.0
569,2004-01-24,18,,5.6666666667
570,2004-01-24,19,,4.0
571,2004-01-24,20,,2.6666666667
572,2004-01-24,21,,1.6666666667
573,2004-01-24,22,,1.0
574,2004-01-24,23,,-0.333333333
575,2004-01-24,24,,-2.333333333
576,2004-01-25,1,,-3.333333333
577,2004-01-25,2,,-4.333333333
578,2004-01-25,3,,-5.0
579,2004-01-25,4,,-5.666666667
580,2004-01-25,5,,-6.0
581,2004-01-25,6,,-6.0
582,2004-01-25,7,,-7.333333333
583,2004-01-25,8,,-7.666666667
584,2004-01-25,9,,-7.333333333
585,2004-01-25,10,,-5.333333333
586,2004-01-25,11,,-2.333333333
587,2004-01-25,12,,0.3333333333
588,2004-01-25,13,,3.0
589,2004-01-25,14,,5.0
590,2004-01-25,15,,7.0
591,2004-01-25,16,,8.3333333333
592,2004-01-25,17,,7.6666666667
593,2004-01-25,18,,6.0
594,2004-01-25,19,,4.3333333333
595,2004-01-25,20,,1.3333333333
596,2004-01-25,21,,-1.333333333
597,2004-01-25,22,,-3.333333333
598,2004-01-25,23,,-4.0
599,2004-01-25,24,,-4.333333333
600,2004-01-26,1,,-4.666666667
601,2004-01-26,2,,-6.0
602,2004-01-26,3,,-6.666666667
603,2004-01-26,4,,-6.666666667
604,2004-01-26,5,,-6.333333333
605,2004-01-26,6,,-6.666666667
606,2004-01-26,7,,-6.333333333
607,2004-01-26,8,,-5.666666667
608,2004-01-26,9,,-5.0
609,2004-01-26,10,,-1.666666667
610,2004-01-26,11,,2.3333333333
611,2004-01-26,12,,6.0
612,2004-01-26,13,,8.3333333333
613,2004-01-26,14,,10.0
614,2004-01-26,15,,11.0
615,2004-01-26,16,,11.0
616,2004-01-26,17,,10.0
617,2004-01-26,18,,8.0
618,2004-01-26,19,,7.3333333333
619,2004-01-26,20,,6.0
620,2004-01-26,21,,4.6666666667
621,2004-01-26,22,,4.0
622,2004-01-26,23,,3.3333333333
623,2004-01-26,24,,2.6666666667
624,2004-01-27,1,,1.0
625,2004-01-27,2,,2.0
626,2004-01-27,3,,2.3333333333
627,2004-01-27,4,,2.0
628,2004-01-27,5,,1.0
629,2004-01-27,6,,0.3333333333
630,2004-01-27,7,,0.0
631,2004-01-27,8,,0.0
632,2004-01-27,9,,0.6666666667
633,2004-01-27,10,,3.0
634,2004-01-27,11,,7.0
635,2004-01-27,12,,11.0
636,2004-01-27,13,,14.0
637,2004-01-27,14,,15.666666667
638,2004-01-27,15,,17.0
639,2004-01-27,16,,17.666666667
640,2004-01-27,17,,17.333333333
641,2004-01-27,18,,16.333333333
642,2004-01-27,19,,16.333333333
643,2004-01-27,20,,16.333333333
644,2004-01-27,21,,17.0
645,2004-01-27,22,,16.666666667
646,2004-01-27,23,,16.333333333
647,2004-01-27,24,,14.666666667
648,2004-01-28,1,,15.0
649,2004-01-28,2,,14.333333333
650,2004-01-28,3,,16.0
651,2004-01-28,4,,15.666666667
652,2004-01-28,5,,15.666666667
653,2004-01-28,6,,15.333333333
654,2004-01-28,7,,15.0
655,2004-01-28,8,,15.0
656,2004-01-28,9,,15.0
657,2004-01-28,10,,15.0
658,2004-01-28,11,,15.333333333
659,2004-01-28,12,,14.666666667
660,2004-01-28,13,,16.0
661,2004-01-28,14,,17.333333333
662,2004-01-28,15,,18.0
663,2004-01-28,16,,19.0
664,2004-01-28,17,,20.0
665,2004-01-28,18,,19.333333333
666,2004-01-28,19,,18.0
667,2004-01-28,20,,18.0
668,2004-01-28,21,,17.333333333
669,2004-01-28,22,,17.0
670,2004-01-28,23,,18.0
671,2004-01-28,24,,17.333333333
672,2004-01-29,1,,17.0
673,2004-01-29,2,,16.0
674,2004-01-29,3,,16.0
675,2004-01-29,4,,16.666666667
676,2004-01-29,5,,16.0
677,2004-01-29,6,,15.666666667
678,2004-01-29,7,,17.0
679,2004-01-29,8,,17.333333333
680,2004-01-29,9,,17.666666667
681,2004-01-29,10,,19.0
682,2004-01-29,11,,21.0
683,2004-01-29,12,,21.333333333
684,2004-01-29,13,,22.0
685,2004-01-29,14,,21.666666667
686,2004-01-29,15,,22.333333333
687,2004-01-29,16,,22.333333333
688,2004-01-29,17,,21.333333333
689,2004-01-29,18,,19.666666667
690,2004-01-29,19,,18.666666667
691,2004-01-29,20,,18.0
692,2004-01-29,21,,17.333333333
693,2004-01-29,22,,16.0
694,2004-01-29,23,,15.333333333
695,2004-01-29,24,,14.666666667
696,2004-01-30,1,,13.666666667
697,2004-01-30,2,,13.0
698,2004-01-30,3,,11.666666667
699,2004-01-30,4,,10.666666667
700,2004-01-30,5,,11.0
701,2004-01-30,6,,10.333333333
702,2004-01-30,7,,10.333333333
703,2004-01-30,8,,11.0
704,2004-01-30,9,,11.333333333
705,2004-01-30,10,,13.666666667
706,2004-01-30,11,,15.333333333
707,2004-01-30,12,,17.333333333
708,2004-01-30,13,,18.666666667
709,2004-01-30,14,,19.333333333
710,2004-01-30,15,,20.333333333
711,2004-01-30,16,,19.666666667
712,2004-01-30,17,,18.666666667
713,2004-01-30,18,,17.333333333
714,2004-01-30,19,,16.333333333
715,2004-01-30,20,,15.666666667
716,2004-01-30,21,,15.0
717,2004-01-30,22,,14.333333333
718,2004-01-30,23,,12.333333333
719,2004-01-30,24,,11.0
720,2004-01-31,1,,11.0
721,2004-01-31,2,,10.0
722,2004-01-31,3,,7.3333333333
723,2004-01-31,4,,6.3333333333
724,2004-01-31,5,,7.0
725,2004-01-31,6,,4.3333333333
726,2004-01-31,7,,4.3333333333
727,2004-01-31,8,,6.0
728,2004-01-31,9,,6.6666666667
729,2004-01-31,10,,9.6666666667
730,2004-01-31,11,,11.0
731,2004-01-31,12,,12.666666667
732,2004-01-31,13,,14.666666667
733,2004-01-31,14,,17.0
734,2004-01-31,15,,18.333333333
735,2004-01-31,16,,18.333333333
736,2004-01-31,17,,18.333333333
737,2004-01-31,18,,16.666666667
738,2004-01-31,19,,14.666666667
739,2004-01-31,20,,14.333333333
740,2004-01-31,21,,13.333333333
741,2004-01-31,22,,12.333333333
742,2004-01-31,23,,12.0
743,2004-01-31,24,,11.666666667
744,2004-02-01,1,,11.333333333
745,2004-02-01,2,,10.666666667
746,2004-02-01,3,,9.3333333333
747,2004-02-01,4,,8.6666666667
748,2004-02-01,5,,9.0
749,2004-02-01,6,,9.6666666667
750,2004-02-01,7,,9.0
751,2004-02-01,8,,8.3333333333
752,2004-02-01,9,,9.6666666667
753,2004-02-01,10,,13.666666667
754,2004-02-01,11,,18.666666667
755,2004-02-01,12,,22.333333333
756,2004-02-01,13,,24.666666667
757,2004-02-01,14,,26.666666667
758,2004-02-01,15,,29.0
759,2004-02-01,16,,30.333333333
760,2004-02-01,17,,29.0
761,2004-02-01,18,,27.0
762,2004-02-01,19,,25.666666667
763,2004-02-01,20,,24.0
764,2004-02-01,21,,24.666666667
765,2004-02-01,22,,23.666666667
766,2004-02-01,23,,22.666666667
767,2004-02-01,24,,19.333333333
768,2004-02-02,1,,17.0
769,2004-02-02,2,,16.0
770,2004-02-02,3,,15.333333333
771,2004-02-02,4,,16.333333333
772,2004-02-02,5,,14.0
773,2004-02-02,6,,13.666666667
774,2004-02-02,7,,13.333333333
775,2004-02-02,8,,11.666666667
776,2004-02-02,9,,12.333333333
777,2004-02-02,10,,17.666666667
778,2004-02-02,11,,23.666666667
779,2004-02-02,12,,28.333333333
780,2004-02-02,13,,30.666666667
781,2004-02-02,14,,32.0
782,2004-02-02,15,,34.0
783,2004-02-02,16,,33.666666667
784,2004-02-02,17,,33.333333333
785,2004-02-02,18,,29.333333333
786,2004-02-02,19,,26.0
787,2004-02-02,20,,23.333333333
788,2004-02-02,21,,21.333333333
789,2004-02-02,22,,19.0
